Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	EC number
Q8IXI1	reviewed	MIRO2_HUMAN	Mitochondrial Rho GTPase 2 (MIRO-2) (hMiro-2) (EC 3.6.5.-) (Ras homolog gene family member T2)	RHOT2 ARHT2 C16orf39	Homo sapiens (Human)	618	RHOT2	3.6.5.-
Q8IXI2	reviewed	MIRO1_HUMAN	Mitochondrial Rho GTPase 1 (MIRO-1) (hMiro-1) (EC 3.6.5.-) (Rac-GTP-binding protein-like protein) (Ras homolog gene family member T1)	RHOT1 ARHT1	Homo sapiens (Human)	618	RHOT1	3.6.5.-
Q8IXJ6	reviewed	SIR2_HUMAN	NAD-dependent protein deacetylase sirtuin-2 (EC 2.3.1.286) (NAD-dependent protein defatty-acylase sirtuin-2) (EC 2.3.1.-) (Regulatory protein SIR2 homolog 2) (SIR2-like protein 2)	SIRT2 SIR2L SIR2L2	Homo sapiens (Human)	389	SIRT2	2.3.1.-; 2.3.1.286
Q8IXK2	reviewed	GLT12_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 12 (EC 2.4.1.41) (Polypeptide GalNAc transferase 12) (GalNAc-T12) (pp-GaNTase 12) (Protein-UDP acetylgalactosaminyltransferase 12) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 12)	GALNT12	Homo sapiens (Human)	581	GALNT12	2.4.1.41
Q8IXL6	reviewed	FA20C_HUMAN	Extracellular serine/threonine protein kinase FAM20C (EC 2.7.11.1) (Dentin matrix protein 4) (DMP-4) (Golgi casein kinase) (Golgi-enriched fraction casein kinase) (GEF-CK)	FAM20C DMP4	Homo sapiens (Human)	584	FAM20C	2.7.11.1
Q8IXL7	reviewed	MSRB3_HUMAN	Methionine-R-sulfoxide reductase B3 (MsrB3) (EC 1.8.4.12) (EC 1.8.4.14)	MSRB3 UNQ1965/PRO4487	Homo sapiens (Human)	192	MSRB3	1.8.4.12; 1.8.4.14
Q8IXN7	reviewed	RIMKA_HUMAN	N-acetylaspartylglutamate synthase A (NAAG synthetase A) (NAAGS) (EC 6.3.2.41) (N-acetylaspartylglutamylglutamate synthase A) (EC 6.3.2.42) (Ribosomal protein S6 modification-like protein A)	RIMKLA FAM80A	Homo sapiens (Human)	391	RIMKLA	6.3.2.41; 6.3.2.42
Q8IXQ6	reviewed	PARP9_HUMAN	Protein mono-ADP-ribosyltransferase PARP9 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 9) (ARTD9) (B aggressive lymphoma protein) (Poly [ADP-ribose] polymerase 9) (PARP-9)	PARP9 BAL BAL1	Homo sapiens (Human)	854	PARP9	2.4.2.-
Q8IXQ9	reviewed	ETKMT_HUMAN	Electron transfer flavoprotein beta subunit lysine methyltransferase (EC 2.1.1.-) (ETFB lysine methyltransferase) (ETFB-KMT) (Protein N-lysine methyltransferase METTL20)	ETFBKMT C12orf72 METTL20	Homo sapiens (Human)	262	ETFBKMT	2.1.1.-
Q8IXW5	reviewed	RPAP2_HUMAN	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2)	RPAP2 C1orf82	Homo sapiens (Human)	612	RPAP2	3.1.3.16
Q8IY17	reviewed	PLPL6_HUMAN	Patatin-like phospholipase domain-containing protein 6 (EC 3.1.1.5) (Neuropathy target esterase)	PNPLA6 NTE	Homo sapiens (Human)	1375	PNPLA6	3.1.1.5
Q8IY21	reviewed	DDX60_HUMAN	Probable ATP-dependent RNA helicase DDX60 (EC 3.6.4.13) (DEAD box protein 60)	DDX60	Homo sapiens (Human)	1712	DDX60	3.6.4.13
Q8IY26	reviewed	PLPP6_HUMAN	Polyisoprenoid diphosphate/phosphate phosphohydrolase PLPP6 (EC 3.1.3.-) (EC 3.6.1.-) (EC 3.6.1.68) (Lipid phosphatase-related protein-B) (LPRP-B) (PA-PSP) (Phosphatidic acid phosphatase type 2 domain-containing protein 2) (PPAP2 domain-containing protein 2) (Phospholipid phosphatase 6) (Presqualene diphosphate phosphatase) (Type 1 polyisoprenoid diphosphate phosphatase)	PLPP6 PDP1 PPAPDC2	Homo sapiens (Human)	295	PLPP6	3.1.3.-; 3.6.1.-; 3.6.1.68
Q8IY37	reviewed	DHX37_HUMAN	Probable ATP-dependent RNA helicase DHX37 (EC 3.6.4.13) (DEAH box protein 37)	DHX37 DDX37 KIAA1517	Homo sapiens (Human)	1157	DHX37	3.6.4.13
Q8IY81	reviewed	SPB1_HUMAN	pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 (EC 2.1.1.-) (Protein ftsJ homolog 3) (Putative rRNA methyltransferase 3)	FTSJ3 SB92	Homo sapiens (Human)	847	FTSJ3	2.1.1.-
Q8IY84	reviewed	NIM1_HUMAN	Serine/threonine-protein kinase NIM1 (EC 2.7.11.1) (NIM1 serine/threonine-protein kinase)	NIM1K NIM1	Homo sapiens (Human)	436	NIM1K	2.7.11.1
Q8IYB1	reviewed	M21D2_HUMAN	Nucleotidyltransferase MB21D2 (EC 2.7.7.-) (Mab-21 domain-containing protein 2) (hMB21D2)	MB21D2 C3orf59	Homo sapiens (Human)	491	MB21D2	2.7.7.-
Q8IYB7	reviewed	DI3L2_HUMAN	DIS3-like exonuclease 2 (hDIS3L2) (EC 3.1.13.-)	DIS3L2 FAM6A	Homo sapiens (Human)	885	DIS3L2	3.1.13.-
Q8IYB8	reviewed	SUV3_HUMAN	ATP-dependent RNA helicase SUPV3L1, mitochondrial (EC 3.6.4.13) (Suppressor of var1 3-like protein 1) (SUV3-like protein 1)	SUPV3L1 SUV3	Homo sapiens (Human)	786	SUPV3L1	3.6.4.13
Q8IYD1	reviewed	ERF3B_HUMAN	Eukaryotic peptide chain release factor GTP-binding subunit ERF3B (Eukaryotic peptide chain release factor subunit 3b) (eRF3b) (EC 3.6.5.-) (G1 to S phase transition protein 2 homolog)	GSPT2 ERF3B	Homo sapiens (Human)	628	GSPT2	3.6.5.-
Q8IYD8	reviewed	FANCM_HUMAN	Fanconi anemia group M protein (Protein FACM) (EC 3.6.4.13) (ATP-dependent RNA helicase FANCM) (Fanconi anemia-associated polypeptide of 250 kDa) (FAAP250) (Protein Hef ortholog)	FANCM KIAA1596	Homo sapiens (Human)	2048	FANCM	3.6.4.13
Q8IYK4	reviewed	GT252_HUMAN	Procollagen galactosyltransferase 2 (EC 2.4.1.50) (Collagen beta(1-O)galactosyltransferase 2) (ColGalT 2) (Glycosyltransferase 25 family member 2) (Hydroxylysine galactosyltransferase 2)	COLGALT2 C1orf17 GLT25D2 KIAA0584	Homo sapiens (Human)	626	COLGALT2	2.4.1.50
Q8IYM2	reviewed	SLN12_HUMAN	Ribonuclease SLFN12 (EC 3.1.-.-) (Schlafen family member 12)	SLFN12	Homo sapiens (Human)	578	SLFN12	3.1.-.-
Q8IYM9	reviewed	TRI22_HUMAN	E3 ubiquitin-protein ligase TRIM22 (EC 2.3.2.27) (50 kDa-stimulated trans-acting factor) (RING finger protein 94) (RING-type E3 ubiquitin transferase TRIM22) (Staf-50) (Tripartite motif-containing protein 22)	TRIM22 RNF94 STAF50	Homo sapiens (Human)	498	TRIM22	2.3.2.27
Q8IYP9	reviewed	ZDH23_HUMAN	Palmitoyltransferase ZDHHC23 (EC 2.3.1.225) (Zinc finger DHHC domain-containing protein 23) (DHHC-23) (zDHHC23)	ZDHHC23	Homo sapiens (Human)	409	ZDHHC23	2.3.1.225
Q8IYR2	reviewed	SMYD4_HUMAN	Protein-lysine N-methyltransferase SMYD4 (EC 2.1.1.-) (SET and MYND domain-containing protein 4)	SMYD4 KIAA1936	Homo sapiens (Human)	804	SMYD4	2.1.1.-
Q8IYS1	reviewed	P20D2_HUMAN	Xaa-Arg dipeptidase (EC 3.4.13.4) (Beta-Ala-Lys dipeptidase)	PM20D2 ACY1L2	Homo sapiens (Human)	436	PM20D2	3.4.13.4
Q8IYT2	reviewed	CMTR2_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 2 (EC 2.1.1.296) (Cap methyltransferase 2) (Cap2 2'O-ribose methyltransferase 2) (HMTr2) (MTr2) (FtsJ methyltransferase domain-containing protein 1) (Protein adrift homolog)	CMTR2 AFT FTSJD1	Homo sapiens (Human)	770	CMTR2	2.1.1.296
Q8IYT4	reviewed	KATL2_HUMAN	Katanin p60 ATPase-containing subunit A-like 2 (Katanin p60 subunit A-like 2) (EC 5.6.1.1) (p60 katanin-like 2)	KATNAL2	Homo sapiens (Human)	538	KATNAL2	5.6.1.1
Q8IYT8	reviewed	ULK2_HUMAN	Serine/threonine-protein kinase ULK2 (EC 2.7.11.1) (Unc-51-like kinase 2)	ULK2 KIAA0623	Homo sapiens (Human)	1036	ULK2	2.7.11.1
Q8IYU2	reviewed	HACE1_HUMAN	E3 ubiquitin-protein ligase HACE1 (EC 2.3.2.26) (HECT domain and ankyrin repeat-containing E3 ubiquitin-protein ligase 1) (HECT-type E3 ubiquitin transferase HACE1)	HACE1 KIAA1320	Homo sapiens (Human)	909	HACE1	2.3.2.26
Q8IYW5	reviewed	RN168_HUMAN	E3 ubiquitin-protein ligase RNF168 (hRNF168) (EC 2.3.2.27) (RING finger protein 168) (RING-type E3 ubiquitin transferase RNF168)	RNF168	Homo sapiens (Human)	571	RNF168	2.3.2.27
Q8IZ52	reviewed	CHSS2_HUMAN	Chondroitin sulfate synthase 2 (EC 2.4.1.175) (EC 2.4.1.226) (Chondroitin glucuronyltransferase 2) (Chondroitin-polymerizing factor) (ChPF) (Glucuronosyl-N-acetylgalactosaminyl-proteoglycan 4-beta-N-acetylgalactosaminyltransferase II) (N-acetylgalactosaminyl-proteoglycan 3-beta-glucuronosyltransferase II) (N-acetylgalactosaminyltransferase 2)	CHPF CSS2 UNQ651/PRO1281	Homo sapiens (Human)	775	CHPF	2.4.1.175; 2.4.1.226
Q8IZ69	reviewed	TRM2A_HUMAN	tRNA (uracil-5-)-methyltransferase homolog A (EC 2.1.1.35) (mRNA (uracil-5-)-methyltransferase TRMT2A) (EC 2.1.1.-)	TRMT2A	Homo sapiens (Human)	625	TRMT2A	2.1.1.-; 2.1.1.35
Q8IZD4	reviewed	DCP1B_HUMAN	mRNA-decapping enzyme 1B (EC 3.6.1.62)	DCP1B	Homo sapiens (Human)	617	DCP1B	3.6.1.62
Q8IZH2	reviewed	XRN1_HUMAN	5'-3' exoribonuclease 1 (EC 3.1.13.-) (Strand-exchange protein 1 homolog)	XRN1 SEP1	Homo sapiens (Human)	1706	XRN1	3.1.13.-
Q8IZL9	reviewed	CDK20_HUMAN	Cyclin-dependent kinase 20 (EC 2.7.11.22) (CDK-activating kinase p42) (CAK-kinase p42) (Cell cycle-related kinase) (Cell division protein kinase 20) (Cyclin-dependent protein kinase H) (Cyclin-kinase-activating kinase p42)	CDK20 CCRK CDCH	Homo sapiens (Human)	346	CDK20	2.7.11.22
Q8IZN3	reviewed	ZDH14_HUMAN	Palmitoyltransferase ZDHHC14 (EC 2.3.1.225) (DHHC domain-containing cysteine-rich protein 14) (DHHC-14) (NEW1 domain-containing protein) (NEW1CP) (Zinc finger DHHC domain-containing protein 14)	ZDHHC14	Homo sapiens (Human)	488	ZDHHC14	2.3.1.225
Q8IZT8	reviewed	HS3S5_HUMAN	Heparan sulfate glucosamine 3-O-sulfotransferase 5 (EC 2.8.2.23) (Heparan sulfate D-glucosaminyl 3-O-sulfotransferase 5) (3-OST-5) (Heparan sulfate 3-O-sulfotransferase 5) (h3-OST-5)	HS3ST5 3OST5 HS3OST5	Homo sapiens (Human)	346	HS3ST5	2.8.2.23
Q8IZV5	reviewed	RDH10_HUMAN	Retinol dehydrogenase 10 (EC 1.1.1.300) (Short chain dehydrogenase/reductase family 16C member 4)	RDH10 SDR16C4 UNQ9375/PRO34191	Homo sapiens (Human)	341	RDH10	1.1.1.300
Q8IZY2	reviewed	ABCA7_HUMAN	Phospholipid-transporting ATPase ABCA7 (EC 7.6.2.1) (ABCA-SSN) (ATP-binding cassette sub-family A member 7) (Autoantigen SS-N) (Macrophage ABC transporter)	ABCA7	Homo sapiens (Human)	2146	ABCA7	7.6.2.1
Q8N0U8	reviewed	VKORL_HUMAN	Vitamin K epoxide reductase complex subunit 1-like protein 1 (VKORC1-like protein 1) (EC 1.17.4.4)	VKORC1L1	Homo sapiens (Human)	176	VKORC1L1	1.17.4.4
Q8N0V5	reviewed	GNT2A_HUMAN	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyl-transferase (N-acetylglucosaminyltransferase) (EC 2.4.1.150) (I-branching enzyme) (IGNT)	GCNT2 GCNT5 II NACGT1	Homo sapiens (Human)	402	GCNT2	2.4.1.150
Q8N0W3	reviewed	FCSK_HUMAN	L-fucose kinase (Fucokinase) (EC 2.7.1.52)	FCSK FUK	Homo sapiens (Human)	1084	FCSK	2.7.1.52
Q8N0X4	reviewed	CLYBL_HUMAN	Citramalyl-CoA lyase, mitochondrial (EC 4.1.3.25) ((3S)-malyl-CoA thioesterase) (EC 3.1.2.30) (Beta-methylmalate synthase) (EC 2.3.3.-) (Citrate lyase subunit beta-like protein) (Citrate lyase beta-like) (Malate synthase) (EC 2.3.3.9)	CLYBL CLB	Homo sapiens (Human)	340	CLYBL	2.3.3.-; 2.3.3.9; 3.1.2.30; 4.1.3.25
Q8N119	reviewed	MMP21_HUMAN	Matrix metalloproteinase-21 (MMP-21) (EC 3.4.24.-)	MMP21	Homo sapiens (Human)	569	MMP21	3.4.24.-
Q8N139	reviewed	ABCA6_HUMAN	ATP-binding cassette sub-family A member 6 (EC 7.6.2.-)	ABCA6	Homo sapiens (Human)	1617	ABCA6	7.6.2.-
Q8N142	reviewed	PURA1_HUMAN	Adenylosuccinate synthetase isozyme 1 (AMPSase 1) (AdSS 1) (EC 6.3.4.4) (Adenylosuccinate synthetase, basic isozyme) (Adenylosuccinate synthetase, muscle isozyme) (M-type adenylosuccinate synthetase) (Adenylosuccinate synthetase-like 1) (AdSSL1) (IMP--aspartate ligase 1)	ADSS1 ADSSL1	Homo sapiens (Human)	457	ADSS1	6.3.4.4
Q8N159	reviewed	NAGS_HUMAN	N-acetylglutamate synthase, mitochondrial (EC 2.3.1.1) (Amino-acid acetyltransferase) [Cleaved into: N-acetylglutamate synthase long form; N-acetylglutamate synthase short form; N-acetylglutamate synthase conserved domain form]	NAGS	Homo sapiens (Human)	534	NAGS	2.3.1.1
Q8N165	reviewed	PDK1L_HUMAN	Serine/threonine-protein kinase PDIK1L (EC 2.7.11.1) (PDLIM1-interacting kinase 1-like)	PDIK1L CLIK1L	Homo sapiens (Human)	341	PDIK1L	2.7.11.1
Q8N1G1	reviewed	REXO1_HUMAN	RNA exonuclease 1 homolog (EC 3.1.-.-) (Elongin-A-binding protein 1) (EloA-BP1) (Transcription elongation factor B polypeptide 3-binding protein 1)	REXO1 ELOABP1 KIAA1138 TCEB3BP1	Homo sapiens (Human)	1221	REXO1	3.1.-.-
Q8N1G2	reviewed	CMTR1_HUMAN	Cap-specific mRNA (nucleoside-2'-O-)-methyltransferase 1 (EC 2.1.1.57) (Cap methyltransferase 1) (Cap1 2'O-ribose methyltransferase 1) (MTr1) (hMTr1) (FtsJ methyltransferase domain-containing protein 2) (Interferon-stimulated gene 95 kDa protein) (ISG95)	CMTR1 FTSJD2 KIAA0082 MTR1	Homo sapiens (Human)	835	CMTR1	2.1.1.57
Q8N1Q1	reviewed	CAH13_HUMAN	Carbonic anhydrase 13 (EC 4.2.1.1) (Carbonate dehydratase XIII) (Carbonic anhydrase XIII) (CA-XIII)	CA13	Homo sapiens (Human)	262	CA13	4.2.1.1
Q8N1Q8	reviewed	THEM5_HUMAN	Acyl-coenzyme A thioesterase THEM5 (Acyl-CoA thioesterase THEM5) (EC 3.1.2.2) (Acyl-coenzyme A thioesterase 15) (Thioesterase superfamily member 5)	THEM5 ACOT15	Homo sapiens (Human)	247	THEM5	3.1.2.2
Q8N2A8	reviewed	PLD6_HUMAN	Mitochondrial cardiolipin hydrolase (EC 3.1.4.-) (Choline phosphatase 6) (Mitochondrial phospholipase) (MitoPLD) (Phosphatidylcholine-hydrolyzing phospholipase D6) (Phospholipase D6) (PLD6) (Protein zucchini homolog)	PLD6	Homo sapiens (Human)	252	PLD6	3.1.4.-
Q8N2H9	reviewed	PELI3_HUMAN	E3 ubiquitin-protein ligase pellino homolog 3 (Pellino-3) (EC 2.3.2.27)	PELI3	Homo sapiens (Human)	469	PELI3	2.3.2.27
Q8N2I9	reviewed	STK40_HUMAN	Serine/threonine-protein kinase 40 (EC 2.7.11.1) (SINK-homologous serine/threonine-protein kinase) (Sugen kinase 495) (SgK495)	STK40 SGK495 SHIK	Homo sapiens (Human)	435	STK40	2.7.11.1
Q8N2K0	reviewed	ABD12_HUMAN	Lysophosphatidylserine lipase ABHD12 (EC 3.1.-.-) (2-arachidonoylglycerol hydrolase ABHD12) (Abhydrolase domain-containing protein 12) (hABHD12) (Monoacylglycerol lipase ABHD12) (EC 3.1.1.23) (Oxidized phosphatidylserine lipase ABHD12) (EC 3.1.-.-)	ABHD12 C20orf22	Homo sapiens (Human)	398	ABHD12	3.1.-.-; 3.1.1.23
Q8N2K1	reviewed	UB2J2_HUMAN	Ubiquitin-conjugating enzyme E2 J2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme J2) (Non-canonical ubiquitin-conjugating enzyme 2) (NCUBE-2)	UBE2J2 NCUBE2	Homo sapiens (Human)	259	UBE2J2	2.3.2.23
Q8N2M4	reviewed	TM86A_HUMAN	Lysoplasmalogenase TMEM86A (EC 3.3.2.2) (Transmembrane protein 86A)	TMEM86A	Homo sapiens (Human)	240	TMEM86A	3.3.2.2
Q8N2W9	reviewed	PIAS4_HUMAN	E3 SUMO-protein ligase PIAS4 (EC 2.3.2.27) (PIASy) (Protein inhibitor of activated STAT protein 4) (Protein inhibitor of activated STAT protein gamma) (PIAS-gamma)	PIAS4 PIASG	Homo sapiens (Human)	510	PIAS4	2.3.2.27
Q8N335	reviewed	GPD1L_HUMAN	Glycerol-3-phosphate dehydrogenase 1-like protein (GPD1-L) (EC 1.1.1.8)	GPD1L KIAA0089	Homo sapiens (Human)	351	GPD1L	1.1.1.8
Q8N371	reviewed	KDM8_HUMAN	Bifunctional peptidase and arginyl-hydroxylase JMJD5 (EC 1.14.11.73) (EC 3.4.-.-) (JmjC domain-containing protein 5) (Jumonji C domain-containing protein 5) (L-arginine (3R)-hydroxylase KDM8)	KDM8 JMJD5	Homo sapiens (Human)	416	KDM8	1.14.11.73; 3.4.-.-
Q8N394	reviewed	TMTC2_HUMAN	Protein O-mannosyl-transferase TMTC2 (EC 2.4.1.109) (Transmembrane O-mannosyltransferase targeting cadherins 2) (Transmembrane and tetratricopeptide repeat-containing 2)	TMTC2	Homo sapiens (Human)	836	TMTC2	2.4.1.109
Q8N3A8	reviewed	PARP8_HUMAN	Protein mono-ADP-ribosyltransferase PARP8 (EC 2.4.2.-) (ADP-ribosyltransferase diphtheria toxin-like 16) (ARTD16) (Poly [ADP-ribose] polymerase 8) (PARP-8)	PARP8	Homo sapiens (Human)	854	PARP8	2.4.2.-
Q8N3C0	reviewed	ASCC3_HUMAN	Activating signal cointegrator 1 complex subunit 3 (EC 5.6.2.4) (ASC-1 complex subunit p200) (ASC1p200) (Helicase, ATP binding 1) (Trip4 complex subunit p200)	ASCC3 HELIC1 RQT2	Homo sapiens (Human)	2202	ASCC3	5.6.2.4
Q8N3E9	reviewed	PLCD3_HUMAN	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 (EC 3.1.4.11) (Phosphoinositide phospholipase C-delta-3) (Phospholipase C-delta-3) (PLC-delta-3)	PLCD3 KIAA1964	Homo sapiens (Human)	789	PLCD3	3.1.4.11
Q8N3J2	reviewed	METL4_HUMAN	N(6)-adenine-specific methyltransferase METTL4 (Methyltransferase-like protein 4) (N(6)-adenine-specific DNA methyltransferase METTL4) (EC 2.1.1.72) (snRNA (2'-O-methyladenosine-N(6)-)-methyltransferase METTL4) (EC 2.1.1.-)	METTL4	Homo sapiens (Human)	472	METTL4	2.1.1.-; 2.1.1.72
Q8N3J5	reviewed	PPM1K_HUMAN	Protein phosphatase Mn(2+)-dependent 1K (EC 3.1.3.16) (Branched-chain alpha-ketoacid dehydrogenase phosphatase) (BCKDH) (BDP) (EC 3.1.3.52) (PP2C domain-containing protein phosphatase 1K) (PP2C-like mitochondrial protein) (PP2C-type mitochondrial phosphoprotein phosphatase) (PTMP) (Protein phosphatase 2C family member) (Protein phosphatase 2C isoform kappa) (PP2C-kappa) ([3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring)]-phosphatase, mitochondrial)	PPM1K PP2CM	Homo sapiens (Human)	372	PPM1K	3.1.3.16; 3.1.3.52
Q8N3T1	reviewed	GLT15_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 15 (EC 2.4.1.41) (Polypeptide GalNAc transferase-like protein 2) (GalNAc-T-like protein 2) (pp-GaNTase-like protein 2) (Polypeptide N-acetylgalactosaminyltransferase-like protein 2) (Protein-UDP acetylgalactosaminyltransferase-like protein 2) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 2)	GALNT15 GALNTL2 UNQ770/PRO1564	Homo sapiens (Human)	639	GALNT15	2.4.1.41
Q8N3Y3	reviewed	LARG2_HUMAN	Xylosyl- and glucuronyltransferase LARGE2 (EC 2.4.-.-) (Glycosyltransferase-like 1B) (LARGE xylosyl- and glucuronyltransferase 2) [Includes: Alpha-1,3-xylosyltransferase LARGE2 (EC 2.4.2.-); Beta-1,3-glucuronyltransferase LARGE2 (EC 2.4.1.-)]	LARGE2 GYLTL1B PP5656	Homo sapiens (Human)	721	LARGE2	2.4.-.-; 2.4.1.-; 2.4.2.-
Q8N3Y7	reviewed	RDHE2_HUMAN	Epidermal retinol dehydrogenase 2 (EPHD-2) (RDH-E2) (EC 1.1.1.105) (Retinal short-chain dehydrogenase reductase 2) (retSDR2) (Short-chain dehydrogenase/reductase family 16C member 5)	SDR16C5 RDHE2	Homo sapiens (Human)	309	SDR16C5	1.1.1.105
Q8N414	reviewed	PGBD5_HUMAN	PiggyBac transposable element-derived protein 5 (EC 3.1.-.-) (PiggyBac domain-related protein 5) (PiggyBac transposase 5)	PGBD5	Homo sapiens (Human)	524	PGBD5	3.1.-.-
Q8N427	reviewed	TXND3_HUMAN	Thioredoxin domain-containing protein 3 (3'-5' exonuclease NME8) (EC 3.1.-.-) (NM23-H8) (NME/NM23 family member 8) (Spermatid-specific thioredoxin-2) (Sptrx-2)	NME8 SPTRX2 TXNDC3	Homo sapiens (Human)	588	NME8	3.1.-.-
Q8N428	reviewed	GLT16_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 16 (EC 2.4.1.41) (Polypeptide GalNAc transferase 16) (GalNAc-T16) (Polypeptide GalNAc transferase-like protein 1) (GalNAc-T-like protein 1) (pp-GaNTase-like protein 1) (Polypeptide N-acetylgalactosaminyltransferase-like protein 1) (Protein-UDP acetylgalactosaminyltransferase-like protein 1) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase-like protein 1)	GALNT16 GALNTL1 KIAA1130	Homo sapiens (Human)	558	GALNT16	2.4.1.41
Q8N465	reviewed	D2HDH_HUMAN	D-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.39)	D2HGDH D2HGD	Homo sapiens (Human)	521	D2HGDH	1.1.99.39
Q8N490	reviewed	PNKD_HUMAN	Probable thioesterase PNKD (EC 3.1.2.-) (Myofibrillogenesis regulator 1) (MR-1) (Paroxysmal nonkinesiogenic dyskinesia protein) (Trans-activated by hepatitis C virus core protein 2)	PNKD KIAA1184 MR1 TAHCCP2 FKSG19 UNQ2491/PRO5778	Homo sapiens (Human)	385	PNKD	3.1.2.-
Q8N4A0	reviewed	GALT4_HUMAN	Polypeptide N-acetylgalactosaminyltransferase 4 (EC 2.4.1.41) (Polypeptide GalNAc transferase 4) (GalNAc-T4) (pp-GaNTase 4) (Protein-UDP acetylgalactosaminyltransferase 4) (UDP-GalNAc:polypeptide N-acetylgalactosaminyltransferase 4)	GALNT4	Homo sapiens (Human)	578	GALNT4	2.4.1.41
Q8N4C8	reviewed	MINK1_HUMAN	Misshapen-like kinase 1 (EC 2.7.11.1) (GCK family kinase MiNK) (MAPK/ERK kinase kinase kinase 6) (MEK kinase kinase 6) (MEKKK 6) (Misshapen/NIK-related kinase) (Mitogen-activated protein kinase kinase kinase kinase 6)	MINK1 B55 MAP4K6 MINK YSK2 ZC3	Homo sapiens (Human)	1332	MINK1	2.7.11.1
Q8N4E7	reviewed	FTMT_HUMAN	Ferritin, mitochondrial (EC 1.16.3.1)	FTMT	Homo sapiens (Human)	242	FTMT	1.16.3.1
Q8N4J0	reviewed	CARME_HUMAN	Carnosine N-methyltransferase (EC 2.1.1.22)	CARNMT1 C9orf41	Homo sapiens (Human)	409	CARNMT1	2.1.1.22
Q8N4L2	reviewed	PP4P2_HUMAN	Type 2 phosphatidylinositol 4,5-bisphosphate 4-phosphatase (Type 2 PtdIns-4,5-P2 4-Ptase) (EC 3.1.3.78) (PtdIns-4,5-P2 4-Ptase II) (Transmembrane protein 55A)	PIP4P2 TMEM55A	Homo sapiens (Human)	257	PIP4P2	3.1.3.78
Q8N4P3	reviewed	MESH1_HUMAN	Guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1 (EC 3.1.7.2) (HD domain-containing protein 3) (Metazoan SpoT homolog 1) (MESH1) (Penta-phosphate guanosine-3'-pyrophosphohydrolase) ((ppGpp)ase)	HDDC3 MESH1	Homo sapiens (Human)	179	HDDC3	3.1.7.2
Q8N4T0	reviewed	CBPA6_HUMAN	Carboxypeptidase A6 (EC 3.4.17.-)	CPA6 CPAH	Homo sapiens (Human)	437	CPA6	3.4.17.-
Q8N4T8	reviewed	CBR4_HUMAN	3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100) (3-ketoacyl-[acyl-carrier-protein] reductase beta subunit) (KAR beta subunit) (Carbonyl reductase family member 4) (CBR4) (Quinone reductase CBR4) (EC 1.6.5.10) (Short chain dehydrogenase/reductase family 45C member 1)	CBR4 SDR45C1	Homo sapiens (Human)	237	CBR4	1.1.1.100; 1.6.5.10
Q8N543	reviewed	OGFD1_HUMAN	Prolyl 3-hydroxylase OGFOD1 (EC 1.14.11.-) (2-oxoglutarate and iron-dependent oxygenase domain-containing protein 1) (Termination and polyadenylation 1 homolog) (uS12 prolyl 3-hydroxylase)	OGFOD1 KIAA1612 TPA1	Homo sapiens (Human)	542	OGFOD1	1.14.11.-
Q8N568	reviewed	DCLK2_HUMAN	Serine/threonine-protein kinase DCLK2 (EC 2.7.11.1) (CaMK-like CREB regulatory kinase 2) (CL2) (CLICK-II) (CLICK2) (Doublecortin domain-containing protein 3B) (Doublecortin-like and CAM kinase-like 2) (Doublecortin-like kinase 2)	DCLK2 DCAMKL2 DCDC3B DCK2	Homo sapiens (Human)	766	DCLK2	2.7.11.1
Q8N594	reviewed	MPND_HUMAN	MPN domain-containing protein (EC 3.4.-.-)	MPND	Homo sapiens (Human)	471	MPND	3.4.-.-
Q8N5B7	reviewed	CERS5_HUMAN	Ceramide synthase 5 (CerS5) (LAG1 longevity assurance homolog 5) (Sphingoid base N-palmitoyltransferase CERS5) (EC 2.3.1.291) (Sphingosine N-acyltransferase CERS5) (EC 2.3.1.24)	CERS5 LASS5	Homo sapiens (Human)	392	CERS5	2.3.1.24; 2.3.1.291
